,total_setsize,dcolor,RT,SEM,plot_color,
2,2,2,493.4793343,16.92073758,2,1
3,2,3,523.0486029,17.10515311,3,2
1,2,1,523.5764891,16.16518648,1,3
5,5,2,504.1500743,16.53705641,2,1
6,5,3,542.4934938,17.77575138,3,2
4,5,1,548.3333944,19.80591471,1,3
8,10,2,517.8060615,15.97175551,2,1
9,10,3,564.619241,17.13643572,3,2
7,10,1,584.1324237,18.5641781,1,3
11,20,2,514.2322183,13.43061779,2,1
12,20,3,584.112597,18.07359616,3,2
10,20,1,611.7740138,20.22546925,1,3
14,32,2,526.7017346,17.54353701,2,1
15,32,3,582.9273598,17.61926168,3,2
13,32,1,634.9119405,19.76473582,1,3
16,0,1,488.6779829,16.0168282,99,99
17,0,2,488.6779829,16.0168282,99,99
18,0,3,488.6779829,16.0168282,99,99
